simulation_id,timestamp,city,area,hour,day_of_week,is_weekend,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_severity_index,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,traffic_intensity_score,congestion_probability,accident_probability,congestion_occurred,accident_occurred,active_scenarios,scenario_count
40,2024-04-04 06:00:00,london,Kensington,6,3,0,11.31,90,12.77,21.86,8843,11.11,4220,44.81,5,Low,Wet,1935.33,0.5726,0.1234,1,0,High Humidity,1
41,2024-07-07 02:00:00,london,Southwark,2,6,1,9.48,77,23.0,55.64,10520,23.77,2167,99.53,0,Low,Wet,754.85,0.6971,0.2676,0,0,Heavy Rain|Strong Winds,2
42,2024-03-01 04:00:00,london,Camden,4,4,0,12.49,93,15.64,61.34,2117,22.84,1324,59.81,1,Low,Damaged,625.88,0.6874,0.2989,1,0,High Humidity|Strong Winds,2
43,2024-03-16 09:00:00,london,Southwark,9,5,1,3.85,79,43.48,8.86,6709,17.07,1305,15.29,9,High,Damaged,500.18,0.6293,0.3212,1,1,Heavy Rain,1
44,2024-06-24 04:35:00,london,Hackney,4,0,0,21.3,59,13.23,40.78,7654,17.31,3402,85.88,0,Medium,Dry,1398.94,0.6317,0.1781,1,0,Normal,0
45,2024-01-04 21:00:00,london,Hammersmith,21,3,0,16.01,52,6.91,20.93,5793,6.99,2762,105.87,2,High,Snowy,1026.85,0.5356,0.4184,1,0,Normal,0
46,2024-01-02 12:00:00,london,Chelsea,12,1,0,9.5,63,8.34,76.3,8276,21.31,4487,59.35,8,Low,Wet,2019.15,0.6717,0.1735,0,0,Strong Winds,1
47,2024-04-20 06:00:00,london,Islington,6,5,1,0.95,27,7.5,55.71,4676,16.36,1309,50.17,1,High,Snowy,550.66,0.6223,0.3095,1,0,Strong Winds,1
48,2024-01-15 21:00:00,london,Hackney,21,0,0,10.17,59,7.9,75.99,8068,18.51,4088,55.45,9,Low,Dry,1689.11,0.6434,0.1057,0,0,Strong Winds,1
49,2024-06-17 03:00:00,london,Kensington,3,0,0,26.71,42,36.62,51.16,7760,32.55,626,77.11,8,Medium,Wet,286.62,0.7921,0.3242,1,1,Heavy Rain|Strong Winds,2
50,2024-03-16 03:00:00,london,Camden,3,5,1,8.06,39,1.14,75.41,5669,21.59,177,71.77,6,Low,Snowy,67.29,0.5688,0.2605,1,0,Strong Winds,1
51,2024-06-11 03:00:00,london,Chelsea,3,1,0,16.2,48,43.28,50.12,9022,21.58,681,30.18,2,Medium,Damaged,223.97,0.6745,0.3049,1,0,Heavy Rain|Strong Winds,2
52,2024-06-19 03:00:00,london,Hackney,3,2,0,17.6,85,26.99,70.0,4442,31.33,2331,88.77,9,Low,Damaged,1014.88,0.7785,0.4569,1,1,Heavy Rain|High Humidity|Strong Winds,3
53,2024-05-11 06:00:00,london,Westminster,6,5,1,22.43,66,10.83,40.65,10782,13.0,2952,37.82,8,Medium,Damaged,958.24,0.5902,0.2663,0,0,Normal,0
54,2024-05-11 06:00:00,london,Westminster,6,5,1,22.43,66,10.83,40.65,10782,18.24,2952,32.82,8,Medium,Damaged,1155.54,0.6408,0.2894,1,1,Normal,0
55,2024-05-18 02:00:00,london,Hackney,2,5,1,11.5,54,12.81,11.79,2782,7.15,435,102.41,4,Medium,Wet,206.84,0.537,0.2474,0,0,Normal,0
56,2024-06-29 12:00:00,london,Hackney,12,5,1,27.1,60,42.4,27.01,7239,18.92,3399,103.1,1,Medium,Dry,1395.77,0.6476,0.2187,1,0,Heavy Rain,1
57,2024-06-28 21:00:00,london,Westminster,21,4,0,2.5,23,49.07,45.99,6395,24.53,248,54.24,4,High,Snowy,81.8,0.643,0.3764,0,0,Heavy Rain,1
58,2024-05-17 10:00:00,london,Westminster,10,4,0,14.4,39,5.72,67.12,8782,20.64,4554,83.46,0,Medium,Dry,2045.23,0.6649,0.1862,1,0,Strong Winds,1
59,2024-03-05 03:00:00,london,Islington,3,1,0,21.05,44,39.18,54.47,6275,32.07,1481,53.78,0,Low,Dry,684.03,0.7867,0.1334,1,0,Heavy Rain|Strong Winds,2
60,2024-04-16 19:00:00,london,Hackney,19,1,0,0.34,60,47.78,29.61,8217,28.06,1574,110.76,4,Low,Snowy,659.83,0.7426,0.4309,0,0,Heavy Rain,1
61,2024-03-29 06:00:00,london,Hackney,6,4,0,0.19,43,6.16,27.12,11037,15.37,2456,65.34,3,Medium,Dry,1012.84,0.6128,0.1403,0,0,Normal,0
62,2024-03-12 15:00:00,london,Islington,15,1,0,34.31,32,38.64,9.02,8048,23.11,983,69.29,8,Medium,Dry,377.2,0.6902,0.1703,0,0,Heavy Rain|Temperature Extremes,2
63,2024-04-29 01:00:00,london,Westminster,1,0,0,-4.38,67,49.81,47.22,4444,28.84,4497,6.15,1,Medium,Wet,1710.77,0.7512,0.192,1,0,Heavy Rain|Temperature Extremes,2
64,2024-02-22 02:00:00,london,Hammersmith,2,3,0,33.22,62,44.17,7.39,9110,19.08,2270,67.45,2,High,Snowy,1033.83,0.6491,0.3808,0,1,Heavy Rain|Temperature Extremes,2
65,2024-06-11 13:00:00,london,Hackney,13,1,0,5.04,51,45.65,56.41,9846,33.16,1771,81.25,9,Low,Damaged,667.54,0.7989,0.4369,1,1,Heavy Rain|Strong Winds,2
66,2024-03-26 11:00:00,london,Southwark,11,1,0,9.87,94,17.14,70.45,7407,23.55,4040,108.24,3,Low,Damaged,1661.07,0.6948,0.4845,0,1,High Humidity|Strong Winds,2
67,2024-04-07 11:00:00,london,Islington,11,6,1,31.19,28,37.85,78.61,12202,33.58,3820,127.85,5,Medium,Damaged,1792.75,0.8037,0.8,1,1,Heavy Rain|Temperature Extremes|Strong Winds,3
68,2024-05-24 15:00:00,london,Chelsea,15,4,0,10.83,50,10.36,71.9,6502,20.0,110,111.66,9,Low,Damaged,43.99,0.4878,0.468,0,1,Strong Winds,1
69,2024-04-29 01:00:00,london,Westminster,1,0,0,-4.38,67,49.81,47.22,4444,37.71,4497,6.12,1,Medium,Wet,1719.37,0.851,0.2209,0,1,Heavy Rain|Temperature Extremes,2
70,2024-01-30 14:00:00,london,Hammersmith,14,1,0,-3.64,22,28.03,67.54,5072,36.53,4420,69.45,6,Medium,Wet,1894.62,0.8373,0.3205,1,1,Heavy Rain|Temperature Extremes|Strong Winds,3
71,2024-04-23 02:00:00,london,Southwark,2,1,0,-0.78,77,10.15,61.03,9647,21.13,1977,101.69,8,Low,Dry,738.47,0.6699,0.1733,0,0,Temperature Extremes|Strong Winds,2
72,2024-02-07 02:00:00,london,Southwark,2,2,0,33.95,97,24.7,37.33,5302,18.96,908,63.12,1,High,Damaged,426.11,0.648,0.4564,0,1,Heavy Rain|Temperature Extremes|High Humidity,3
73,2024-01-07 12:00:00,london,Hackney,12,6,1,40.0,68,32.85,14.95,2769,24.36,3926,95.52,8,Low,Snowy,1478.63,0.7033,0.3465,1,0,Heavy Rain|Temperature Extremes,2
74,2024-03-09 12:00:00,london,Westminster,12,5,1,-4.6,89,49.84,13.6,4683,27.79,2853,22.97,9,Medium,Damaged,1298.28,0.7397,0.3295,1,0,Heavy Rain|Temperature Extremes|High Humidity,3
75,2024-02-08 04:00:00,london,Hammersmith,4,3,0,-4.43,40,30.17,61.77,3700,25.24,3744,91.69,3,High,Wet,1249.53,0.7125,0.4068,1,1,Heavy Rain|Temperature Extremes|Strong Winds,3
76,2024-01-21 07:00:00,london,Kensington,7,6,1,1.77,77,35.1,78.24,6063,30.47,4266,41.78,6,Low,Snowy,1986.43,0.769,0.2368,1,0,Heavy Rain|Strong Winds,2
77,2024-06-12 21:00:00,london,Hammersmith,21,2,0,22.9,83,46.92,22.65,9904,21.03,1331,19.93,8,High,Damaged,578.26,0.6688,0.3537,1,0,Heavy Rain|High Humidity,2
78,2024-05-15 08:00:00,london,Islington,8,2,0,0.61,57,4.54,37.19,10575,12.05,4022,57.13,7,Medium,Dry,1590.37,0.5813,0.1208,1,1,Normal,0
79,2024-01-10 03:00:00,london,Chelsea,3,2,0,31.37,24,0.59,58.35,2076,21.6,1649,48.81,8,High,Wet,709.52,0.6746,0.2556,1,0,Temperature Extremes|Strong Winds,2
80,2024-01-06 07:00:00,london,Islington,7,5,1,21.57,68,25.39,32.66,10250,20.37,1745,43.87,5,High,Snowy,621.95,0.6621,0.3203,1,0,Heavy Rain,1
81,2024-05-26 13:00:00,london,Southwark,13,6,1,21.08,40,48.51,66.12,6959,26.9,3550,6.46,7,High,Snowy,1663.31,0.7301,0.3047,1,0,Heavy Rain|Strong Winds,2
82,2024-02-18 08:00:00,london,Westminster,8,6,1,23.37,45,42.65,30.8,4550,23.22,3814,117.35,3,High,Damaged,1605.36,0.6913,0.8,1,1,Heavy Rain,1
83,2024-06-16 07:00:00,london,Westminster,7,6,1,-3.66,43,22.4,63.54,6645,32.73,3517,108.3,7,Medium,Wet,1152.45,0.7941,0.443,0,0,Heavy Rain|Temperature Extremes|Strong Winds,3
84,2024-06-17 02:00:00,london,Chelsea,2,0,0,7.64,24,8.41,12.43,8069,8.22,4020,45.61,8,High,Damaged,1466.64,0.5464,0.3078,1,0,Normal,0
85,2024-01-15 00:00:00,london,Southwark,0,0,0,4.84,60,33.46,28.47,5431,18.31,1904,54.23,4,Low,Wet,720.01,0.6415,0.1563,1,1,Heavy Rain,1
86,2024-03-26 09:00:00,london,Hammersmith,9,1,0,30.23,29,2.4,53.94,4389,17.34,3771,7.64,1,Low,Wet,1698.07,0.632,0.1191,1,0,Temperature Extremes|Strong Winds,2
87,2024-05-28 01:00:00,london,Islington,1,1,0,32.92,68,25.22,65.67,8324,34.53,3058,114.71,6,Medium,Snowy,1183.87,0.8145,0.6476,0,1,Heavy Rain|Temperature Extremes|Strong Winds,3
88,2024-05-15 04:00:00,london,Kensington,4,2,0,-1.12,85,24.94,18.07,7025,17.18,554,52.39,5,Medium,Snowy,192.98,0.6304,0.2606,0,0,Heavy Rain|Temperature Extremes|High Humidity,3
89,2024-05-24 07:00:00,london,Southwark,7,4,0,13.75,36,17.98,27.59,3457,10.9,4831,112.27,2,High,Wet,2005.68,0.5707,0.3698,0,0,Normal,0
90,2024-06-08 22:00:00,london,Kensington,22,5,1,29.78,20,41.48,38.54,1281,21.88,3788,32.84,9,High,Damaged,1236.32,0.6776,0.3832,1,1,Heavy Rain,1
91,2024-07-02 11:00:00,london,Camden,11,1,0,-3.41,50,14.02,10.61,6604,13.93,1484,58.11,4,Low,Damaged,713.46,0.599,0.2449,1,0,Temperature Extremes,1
92,2024-01-24 17:00:00,london,Southwark,17,2,0,16.78,47,33.57,51.97,6354,22.44,1532,74.26,9,Medium,Wet,551.36,0.6833,0.2644,1,0,Heavy Rain|Strong Winds,2
93,2024-06-08 07:20:00,london,Chelsea,7,5,1,30.91,20,38.69,70.89,1630,39.26,2503,49.32,3,Low,Dry,1104.96,0.8692,0.1435,1,1,Heavy Rain|Temperature Extremes|Strong Winds,3
94,2024-04-04 03:00:00,london,Hackney,3,3,0,-3.37,57,42.12,48.32,4401,30.47,639,39.33,8,Low,Snowy,285.67,0.769,0.2328,0,0,Heavy Rain|Temperature Extremes,2
95,2024-04-18 23:00:00,london,Camden,23,3,0,13.56,76,14.16,22.69,7204,8.65,4973,87.14,1,Low,Wet,2221.68,0.5503,0.17,1,0,Normal,0
96,2024-04-02 19:00:00,london,Southwark,19,1,0,12.96,41,14.84,62.92,7113,21.79,495,71.38,3,Medium,Damaged,214.98,0.6766,0.4235,1,1,Strong Winds,1
97,2024-06-03 05:00:00,london,Southwark,5,0,0,10.04,54,47.19,37.14,1858,25.83,2344,78.95,0,High,Dry,897.19,0.7187,0.2417,0,0,Heavy Rain,1
98,2024-03-14 10:00:00,london,Chelsea,10,3,0,34.93,42,41.58,75.26,7262,36.54,2919,106.97,6,High,Dry,1361.06,0.8374,0.3804,1,0,Heavy Rain|Temperature Extremes|Strong Winds,3
99,2024-01-03 22:00:00,london,Kensington,22,2,0,3.84,46,39.41,58.32,8689,34.83,3054,99.24,7,Medium,Damaged,1219.5,0.8178,0.697,1,0,Heavy Rain|Strong Winds,2
100,2024-07-06 05:00:00,london,Westminster,5,5,1,7.98,22,7.28,51.81,8953,16.19,3184,50.27,6,Low,Dry,1126.75,0.6207,0.0964,1,0,Strong Winds,1
101,2024-06-04 09:00:00,london,Hammersmith,9,1,0,0.07,21,7.84,50.2,2785,20.04,1236,48.63,7,High,Wet,476.37,0.6588,0.2475,1,0,Strong Winds,1
102,2024-06-28 17:00:00,london,Kensington,17,4,0,20.34,88,18.8,45.97,2312,21.71,1417,28.47,0,High,Damaged,560.91,0.6758,0.3727,1,1,High Humidity,1
103,2024-05-24 03:00:00,london,Camden,3,4,0,14.17,28,21.92,51.32,5158,22.18,1801,87.17,1,Low,Damaged,676.0,0.6806,0.3827,1,0,Heavy Rain|Strong Winds,2
104,2024-04-13 04:00:00,london,Hammersmith,4,5,1,33.3,27,16.34,1.47,4278,10.14,457,94.15,5,Low,Wet,213.08,0.5638,0.1893,1,0,Temperature Extremes,1
105,2024-05-17 10:00:00,london,Chelsea,10,4,0,30.96,0,0.7,13.24,3300,8.25,4538,85.5,0,High,Wet,1951.55,0.5467,0.2648,1,0,Temperature Extremes,1
106,2024-03-29 10:00:00,london,Southwark,10,4,0,7.02,61,17.8,74.64,10540,24.04,3786,64.24,9,Low,Snowy,1702.42,0.6999,0.2545,1,1,Strong Winds,1
107,2024-01-22 12:00:00,london,Hackney,12,0,0,-0.6,25,6.41,39.17,4777,16.29,2352,102.61,6,Low,Dry,986.88,0.6217,0.1584,1,0,Temperature Extremes,1
108,2024-05-13 11:00:00,london,Hackney,11,0,0,9.96,89,43.33,68.15,6501,27.1,4742,15.42,9,High,Wet,1620.38,0.7323,0.2338,0,0,Heavy Rain|High Humidity|Strong Winds,3
109,2024-03-04 09:00:00,london,Chelsea,9,0,0,6.96,49,15.66,5.49,9735,7.15,2020,82.39,8,Medium,Wet,792.97,0.537,0.2027,1,0,Normal,0
110,2024-06-29 07:00:00,london,Westminster,7,5,1,1.67,61,33.58,50.15,6046,23.23,4063,67.32,5,Medium,Dry,1668.07,0.6914,0.1676,1,0,Heavy Rain|Strong Winds,2
111,2024-05-06 02:00:00,london,Chelsea,2,0,0,22.58,20,3.23,7.31,3920,5.86,2744,117.85,5,High,Dry,1139.99,0.5258,0.2284,0,0,Normal,0
112,2024-01-07 10:00:00,london,Camden,10,6,1,20.69,90,10.28,32.11,4933,13.25,4142,77.14,7,Low,Damaged,1815.67,0.5926,0.2874,1,0,High Humidity,1
113,2024-05-14 06:00:00,london,Westminster,6,1,0,28.83,28,37.6,0.48,10783,14.2,3193,30.49,6,Low,Snowy,1208.68,0.6016,0.161,1,0,Heavy Rain,1
114,2024-03-09 17:00:00,london,Hammersmith,17,5,1,33.65,73,44.06,12.01,11099,19.52,3021,98.18,0,Medium,Damaged,1015.92,0.6536,0.5268,1,1,Heavy Rain|Temperature Extremes,2
115,2024-06-08 07:20:00,london,Chelsea,7,5,1,30.91,20,38.69,70.89,1630,31.17,2503,58.54,3,Low,Dry,871.05,0.7767,0.1369,1,0,Heavy Rain|Temperature Extremes|Strong Winds,3
116,2024-04-06 16:00:00,london,Westminster,16,5,1,-2.73,89,34.1,32.93,9559,25.66,945,42.09,5,Medium,Wet,454.69,0.7169,0.2129,1,0,Heavy Rain|Temperature Extremes|High Humidity,3
117,2024-04-08 04:00:00,london,Hammersmith,4,0,0,8.21,52,48.26,13.09,7523,17.87,2711,100.66,7,Medium,Damaged,943.17,0.6372,0.5221,0,0,Heavy Rain,1
118,2024-02-28 22:00:00,london,Camden,22,2,0,23.11,24,30.82,34.42,4675,20.09,689,81.7,5,High,Snowy,314.35,0.6594,0.4455,0,0,Heavy Rain,1
119,2024-03-26 04:00:00,london,Westminster,4,1,0,20.57,89,37.26,63.37,5453,31.4,3439,81.94,3,Low,Wet,1392.78,0.7793,0.2566,1,1,Heavy Rain|High Humidity|Strong Winds,3
120,2024-04-14 04:00:00,london,Camden,4,6,1,9.46,83,3.48,52.39,10183,18.53,1391,54.94,1,Low,Snowy,516.72,0.6437,0.2106,1,0,High Humidity|Strong Winds,2
121,2024-03-27 11:00:00,london,Southwark,11,2,0,9.56,87,35.75,34.36,8872,17.29,2724,17.66,8,Low,Dry,1305.56,0.6314,0.0813,0,0,Heavy Rain|High Humidity,2
122,2024-05-01 06:00:00,london,Southwark,6,2,0,9.53,34,14.65,38.57,8014,17.31,218,38.96,7,High,Dry,92.36,0.6069,0.1453,1,0,Normal,0
123,2024-06-15 22:00:00,london,Hammersmith,22,5,1,31.64,61,6.38,50.25,10351,22.04,1415,55.4,0,Medium,Dry,671.29,0.6792,0.1474,0,0,Temperature Extremes|Strong Winds,2
124,2024-07-01 07:00:00,london,Hammersmith,7,0,0,-3.04,78,5.62,54.12,6100,24.15,1157,9.66,5,Medium,Wet,505.22,0.701,0.1776,0,0,Temperature Extremes|Strong Winds,2
125,2024-04-02 19:00:00,london,Southwark,19,1,0,12.96,41,14.84,62.92,7113,18.31,495,70.64,3,Medium,Damaged,172.01,0.6415,0.3923,0,0,Strong Winds,1
126,2024-04-25 09:00:00,london,Hammersmith,9,3,0,0.08,50,7.63,7.18,8202,9.96,4344,91.57,3,High,Snowy,1610.55,0.5621,0.3918,0,0,Normal,0
127,2024-05-13 11:00:00,london,Hackney,11,0,0,9.96,89,43.33,68.15,6501,36.59,4742,14.98,9,High,Wet,1993.34,0.838,0.2723,1,0,Heavy Rain|High Humidity|Strong Winds,3
128,2024-05-12 10:00:00,london,Chelsea,10,6,1,-2.1,99,23.4,8.8,5121,16.64,1472,90.71,8,Medium,Damaged,563.36,0.6251,0.4606,0,0,Heavy Rain|Temperature Extremes|High Humidity,3
129,2024-06-10 15:00:00,london,Kensington,15,0,0,26.2,92,22.29,32.38,11912,21.33,576,100.3,4,High,Snowy,243.22,0.6719,0.5492,1,0,Heavy Rain|High Humidity,2
130,2024-03-20 18:00:00,london,Hammersmith,18,2,0,8.94,74,42.03,41.41,6813,25.11,1807,110.48,4,Low,Dry,837.84,0.7111,0.204,1,0,Heavy Rain,1
131,2024-02-04 21:00:00,london,Islington,21,6,1,0.73,81,28.43,14.85,2239,18.13,584,13.26,1,Low,Wet,190.24,0.6398,0.1225,0,0,Heavy Rain|High Humidity,2
132,2024-04-08 04:00:00,london,Hammersmith,4,0,0,8.21,52,48.26,13.09,7523,22.33,2711,104.13,7,Medium,Damaged,916.99,0.6821,0.5908,1,1,Heavy Rain,1
133,2024-02-19 08:40:00,london,Hammersmith,8,0,0,9.63,97,6.97,19.2,7540,8.64,3558,106.32,9,High,Damaged,1417.67,0.5502,0.5487,0,1,High Humidity,1
134,2024-07-09 11:00:00,london,Islington,11,1,0,9.35,58,30.37,77.49,7642,32.79,3326,7.52,5,Low,Snowy,1384.45,0.7947,0.2105,0,0,Heavy Rain|Strong Winds,2
135,2024-04-08 15:00:00,london,Hackney,15,0,0,23.37,74,26.45,44.4,7104,20.69,4819,63.1,3,High,Wet,1899.05,0.6654,0.2835,1,0,Heavy Rain,1
136,2024-02-25 05:00:00,london,Southwark,5,6,1,21.12,41,47.86,19.14,7873,21.91,3369,29.13,3,Medium,Snowy,1088.46,0.6779,0.244,0,0,Heavy Rain,1
137,2024-04-12 06:00:00,london,Islington,6,4,0,14.06,33,3.51,16.85,7088,6.19,1222,59.32,9,High,Wet,397.37,0.5286,0.1957,0,0,Normal,0
138,2024-05-26 12:00:00,london,Westminster,12,6,1,20.46,85,18.24,13.82,8017,11.56,2227,106.29,2,Medium,Dry,1046.16,0.5768,0.1918,1,1,High Humidity,1
139,2024-02-06 02:00:00,london,Camden,2,1,0,11.72,43,27.2,23.06,4878,12.91,1476,40.23,3,Low,Dry,516.99,0.5894,0.0831,1,0,Heavy Rain,1
